(~G <=> I) & (~G <=> I) & (~E <=> ~G) & (~E <=> ~G) & (~G <=> I) & (~E <=> ~G) . What is ~G ?	(~G <=> I) & (~E <=> ~G) . What is ~G ?	(~G <=> I) & (~E <=> ~G)	Unknown HELP!
(~I & H) & ~E & ~E . What is I ?	(~I & H) & ~E . What is I ?	(~I & H) & ~E	False
B & B . What is B ?	B . What is B ?	B	True
~A . What is ~H ?	~A . What is ~H ?	~A	Unknown HELP!
B & B & B . What is ~B ?	B . What is ~B ?	B	False
(~E <=> A) & ~E & (~E <=> A) & (A & B) & ~E & (A & B) & ~G & ~G & (B | F) & (G & I) & (G & I) & (G & I) . What is F ?	(~E <=> A) & ~E & (A & B) & ~G & (B | F) & (G & I) . What is F ?	(~E <=> A) & ~E & (A & B) & ~G & (B | F) & (G & I)	Contradictory
(A ^ I) & (I ^ ~E) & (A ^ I) & E & (~E | B) & (A ^ I) & (~E | B) . What is I ?	(A ^ I) & (I ^ ~E) & E & (~E | B) . What is I ?	(A ^ I) & (I ^ ~E) & E & (~E | B)	True
(~E ==> ~B) & ~B & (~E ==> ~B) & (~E ==> ~B) & ~B & ~B & (~A & ~E) & (~D <=> ~A) & (~D <=> ~A) . What is ~B ?	(~E ==> ~B) & ~B & (~A & ~E) & (~D <=> ~A) . What is ~B ?	(~E ==> ~B) & ~B & (~A & ~E) & (~D <=> ~A)	True
F & E & (B & F) & (A ==> ~E) & E & (A ==> ~E) . What is D ?	F & E & (B & F) & (A ==> ~E) . What is D ?	F & E & (B & F) & (A ==> ~E)	Unknown HELP!
~D & (~D ==> ~A) & (~E & ~D) & (~E & ~D) & (~D ==> ~A) & (C ==> ~E) & (C ==> ~E) & (~D ==> ~A) & (C ==> ~E) & ~D & (~E & ~D) . What is ~A ?	~D & (~D ==> ~A) & (~E & ~D) & (C ==> ~E) . What is ~A ?	~D & (~D ==> ~A) & (~E & ~D) & (C ==> ~E)	True
(B ==> G) & (G ^ ~J) & (~J | C) & (~J | C) & (G ^ ~J) & (B ==> G) & ~F & ~F & (~D & E) & (~D & E) & (~D & E) . What is C ?	(B ==> G) & (G ^ ~J) & (~J | C) & ~F & (~D & E) . What is C ?	(B ==> G) & (G ^ ~J) & (~J | C) & ~F & (~D & E)	Unknown HELP!
~D & (~B & ~E) & (~B & ~E) . What is ~D ?	~D & (~B & ~E) . What is ~D ?	~D & (~B & ~E)	True
